"Species","code","Impact_year","Type_of_cost_merged","Management_type","Genus","Cost_ID","Cost.USD","First_invacost","First_manage_invacost"
"Aedes aegypti","BRN",2007,"Damage_costs",NA,"Aedes","2215",669205.043132053,2001,1977
"Aedes aegypti","BRN",2005,"Damage_costs",NA,"Aedes","2215",669205.043132053,2001,1977
"Aedes aegypti","BRN",2003,"Damage_costs",NA,"Aedes","2215",669205.043132053,2001,1977
"Aedes aegypti","BRN",2002,"Damage_costs",NA,"Aedes","2215",669205.043132053,2001,1977
"Aedes aegypti","BTN",2008,"Damage_costs",NA,"Aedes","2214",310401.710257792,2001,1977
"Aedes aegypti","BTN",2007,"Damage_costs",NA,"Aedes","2214",310401.710257792,2001,1977
"Aedes aegypti","BTN",2006,"Damage_costs",NA,"Aedes","2214",310401.710257792,2001,1977
"Aedes aegypti","BTN",2010,"Damage_costs",NA,"Aedes","2214",310401.710257792,2001,1977
"Aedes aegypti","BTN",2001,"Damage_costs",NA,"Aedes","2214",310401.710257792,2001,1977
"Aedes aegypti","BTN",2005,"Damage_costs",NA,"Aedes","2214",310401.710257792,2001,1977
"Aedes aegypti","BTN",2002,"Damage_costs",NA,"Aedes","2214",310401.710257792,2001,1977
"Aedes aegypti","BTN",2009,"Damage_costs",NA,"Aedes","2214",310401.710257792,2001,1977
"Aedes aegypti","BTN",2003,"Damage_costs",NA,"Aedes","2214",310401.710257792,2001,1977
"Aedes aegypti","BTN",2004,"Damage_costs",NA,"Aedes","2214",310401.710257792,2001,1977
"Aedes aegypti","CAN",2007,"Damage_costs",NA,"Aedes","2285",693753.521315354,2000,1977
"Aedes aegypti","CAN",2005,"Damage_costs",NA,"Aedes","2285",693753.521315354,2000,1977
"Aedes aegypti","CAN",2000,"Damage_costs",NA,"Aedes","2285",693753.521315354,2000,1977
"Aedes aegypti","CAN",2003,"Damage_costs",NA,"Aedes","2285",693753.521315354,2000,1977
"Aedes aegypti","CAN",2004,"Damage_costs",NA,"Aedes","2285",693753.521315354,2000,1977
"Aedes aegypti","CAN",2001,"Damage_costs",NA,"Aedes","2285",693753.521315354,2000,1977
"Aedes aegypti","CAN",2002,"Damage_costs",NA,"Aedes","2285",693753.521315354,2000,1977
"Aedes aegypti","CAN",2006,"Damage_costs",NA,"Aedes","2285",693753.521315354,2000,1977
"Aedes aegypti","CHL",2007,"Damage_costs",NA,"Aedes","2289",7067815.98882335,1995,1977
"Aedes aegypti","CHL",2004,"Damage_costs",NA,"Aedes","2289",7067815.98882335,1995,1977
"Aedes aegypti","CHL",2000,"Damage_costs",NA,"Aedes","2289",7067815.98882335,1995,1977
"Aedes aegypti","CHL",2001,"Damage_costs",NA,"Aedes","2289",7067815.98882335,1995,1977
"Aedes aegypti","CHL",2005,"Damage_costs",NA,"Aedes","2289",7067815.98882335,1995,1977
"Aedes aegypti","CHL",2003,"Damage_costs",NA,"Aedes","2289",7067815.98882335,1995,1977
"Aedes aegypti","CHL",2006,"Damage_costs",NA,"Aedes","2289",7067815.98882335,1995,1977
"Aedes aegypti","CHL",2002,"Damage_costs",NA,"Aedes","2289",7067815.98882335,1995,1977
"Aedes aegypti","CHN",2007,"Damage_costs",NA,"Aedes","2394",489020.414020624,1998,1977
"Aedes aegypti","CHN",2012,"Damage_costs",NA,"Aedes","2394",489020.414020624,1998,1977
"Aedes aegypti","CHN",2000,"Damage_costs",NA,"Aedes","2394",489020.414020624,1998,1977
"Aedes aegypti","CHN",2006,"Damage_costs",NA,"Aedes","2394",489020.414020624,1998,1977
"Aedes aegypti","CHN",2009,"Damage_costs",NA,"Aedes","2394",489020.414020624,1998,1977
"Aedes aegypti","CHN",2003,"Damage_costs",NA,"Aedes","2394",489020.414020624,1998,1977
"Aedes aegypti","CHN",2008,"Damage_costs",NA,"Aedes","2394",489020.414020624,1998,1977
"Aedes aegypti","CHN",2014,"Damage_costs",NA,"Aedes","2394",489020.414020624,1998,1977
"Aedes aegypti","CHN",1999,"Damage_costs",NA,"Aedes","2394",489020.414020624,1998,1977
"Aedes aegypti","CHN",1998,"Damage_costs",NA,"Aedes","2394",489020.414020624,1998,1977
"Aedes aegypti","CHN",2013,"Damage_costs",NA,"Aedes","2394",489020.414020624,1998,1977
"Aedes aegypti","CHN",2001,"Damage_costs",NA,"Aedes","2394",489020.414020624,1998,1977
"Aedes aegypti","CHN",2004,"Damage_costs",NA,"Aedes","2394",489020.414020624,1998,1977
"Aedes aegypti","CHN",2002,"Damage_costs",NA,"Aedes","2394",489020.414020624,1998,1977
"Aedes aegypti","CHN",2005,"Damage_costs",NA,"Aedes","2394",489020.414020624,1998,1977
"Aedes aegypti","CHN",2011,"Damage_costs",NA,"Aedes","2394",489020.414020624,1998,1977
"Aedes aegypti","CHN",2010,"Damage_costs",NA,"Aedes","2394",489020.414020624,1998,1977
"Aedes aegypti","CUB",1981,"Damage_costs",NA,"Aedes","2414",51221029.2365505,1981,1977
"Aedes aegypti","CUB",1981,"Damage_costs",NA,"Aedes","2413",110529589.405188,1981,1977
"Aedes aegypti","ECU",2005,"Damage_costs",NA,"Aedes","2303",65747113.8342653,1995,1977
"Aedes aegypti","ECU",2007,"Damage_costs",NA,"Aedes","2303",65747113.8342653,1995,1977
"Aedes aegypti","ECU",2001,"Damage_costs",NA,"Aedes","2303",65747113.8342653,1995,1977
"Aedes aegypti","ECU",2002,"Damage_costs",NA,"Aedes","2303",65747113.8342653,1995,1977
"Aedes aegypti","ECU",2003,"Damage_costs",NA,"Aedes","2303",65747113.8342653,1995,1977
"Aedes aegypti","ECU",2006,"Damage_costs",NA,"Aedes","2303",65747113.8342653,1995,1977
"Aedes aegypti","ECU",2004,"Damage_costs",NA,"Aedes","2303",65747113.8342653,1995,1977
"Aedes aegypti","ECU",2000,"Damage_costs",NA,"Aedes","2303",65747113.8342653,1995,1977
"Aedes aegypti","FRA",2000,"Damage_costs",NA,"Aedes","2265",2218846.14329975,2000,1977
"Aedes aegypti","FRA",2005,"Damage_costs",NA,"Aedes","2265",2218846.14329975,2000,1977
"Aedes aegypti","FRA",2003,"Damage_costs",NA,"Aedes","2265",2218846.14329975,2000,1977
"Aedes aegypti","FRA",2007,"Damage_costs",NA,"Aedes","2265",2218846.14329975,2000,1977
"Aedes aegypti","FRA",2014,"Damage_costs",NA,"Aedes","2263",6055373.43423932,2000,1977
"Aedes aegypti","FRA",2004,"Damage_costs",NA,"Aedes","2265",2218846.14329975,2000,1977
"Aedes aegypti","FRA",2006,"Damage_costs",NA,"Aedes","2265",2218846.14329975,2000,1977
"Aedes aegypti","FRA",2014,"Damage_costs",NA,"Aedes","2264",3556330.42963262,2000,1977
"Aedes aegypti","FRA",2013,"Damage_costs",NA,"Aedes","2417",5951553.04809661,2000,1977
"Aedes aegypti","FRA",2002,"Damage_costs",NA,"Aedes","2265",2218846.14329975,2000,1977
"Aedes aegypti","FRA",2001,"Damage_costs",NA,"Aedes","2265",2218846.14329975,2000,1977
"Aedes aegypti","FRA",2013,"Damage_costs",NA,"Aedes","2416",9285930.7689397,2000,1977
"Aedes aegypti","GTM",2003,"Damage_costs",NA,"Aedes","2307",38016876.2719143,1995,1977
"Aedes aegypti","GTM",2002,"Damage_costs",NA,"Aedes","2307",38016876.2719143,1995,1977
"Aedes aegypti","GTM",2004,"Damage_costs",NA,"Aedes","2307",38016876.2719143,1995,1977
"Aedes aegypti","GTM",2001,"Damage_costs",NA,"Aedes","2307",38016876.2719143,1995,1977
"Aedes aegypti","GTM",2000,"Damage_costs",NA,"Aedes","2307",38016876.2719143,1995,1977
"Aedes aegypti","GTM",2007,"Damage_costs",NA,"Aedes","2307",38016876.2719143,1995,1977
"Aedes aegypti","GTM",2005,"Damage_costs",NA,"Aedes","2307",38016876.2719143,1995,1977
"Aedes aegypti","GTM",2006,"Damage_costs",NA,"Aedes","2307",38016876.2719143,1995,1977
"Aedes aegypti","IDN",2010,"Damage_costs",NA,"Aedes","2226",340035077.600131,2001,1977
"Aedes aegypti","IDN",2011,"Damage_costs",NA,"Aedes","2399",3236453.54114262,2001,1977
"Aedes aegypti","IDN",2005,"Damage_costs",NA,"Aedes","2226",340035077.600131,2001,1977
"Aedes aegypti","IDN",2008,"Damage_costs",NA,"Aedes","2226",340035077.600131,2001,1977
"Aedes aegypti","IDN",2003,"Damage_costs",NA,"Aedes","2226",340035077.600131,2001,1977
"Aedes aegypti","IDN",2006,"Damage_costs",NA,"Aedes","2226",340035077.600131,2001,1977
"Aedes aegypti","IDN",2001,"Damage_costs",NA,"Aedes","2226",340035077.600131,2001,1977
"Aedes aegypti","IDN",2004,"Damage_costs",NA,"Aedes","2226",340035077.600131,2001,1977
"Aedes aegypti","IDN",2002,"Damage_costs",NA,"Aedes","2226",340035077.600131,2001,1977
"Aedes aegypti","IDN",2011,"Damage_costs",NA,"Aedes","2227",1766073.85279169,2001,1977
"Aedes aegypti","IDN",2007,"Damage_costs",NA,"Aedes","2226",340035077.600131,2001,1977
"Aedes aegypti","IDN",2009,"Damage_costs",NA,"Aedes","2226",340035077.600131,2001,1977
"Aedes aegypti","IND",2007,"Damage_costs",NA,"Aedes","2363",571547693.388632,2003,1977
"Aedes aegypti","IND",2005,"Damage_costs",NA,"Aedes","2221",4774381.86400333,2003,1977
"Aedes aegypti","IND",2006,"Damage_costs",NA,"Aedes","2219",3282987.26799224,2003,1977
"Aedes aegypti","IND",2006,"Damage_costs",NA,"Aedes","2222",13939033.1054862,2003,1977
"Aedes aegypti","IND",2009,"Damage_costs",NA,"Aedes","2363",571547693.388632,2003,1977
"Aedes aegypti","IND",2010,"Damage_costs",NA,"Aedes","2224",567406043.43654,2003,1977
"Aedes aegypti","IND",2005,"Damage_costs",NA,"Aedes","2220",87404622.3516994,2003,1977
"Aedes aegypti","IND",2006,"Damage_costs",NA,"Aedes","2220",87404622.3516994,2003,1977
"Aedes aegypti","IND",2006,"Damage_costs",NA,"Aedes","2221",4774381.86400333,2003,1977
"Aedes aegypti","IND",2007,"Damage_costs",NA,"Aedes","2225",15368561.023653,2003,1977
"Aedes aegypti","IND",2009,"Damage_costs",NA,"Aedes","2224",567406043.43654,2003,1977
"Aedes aegypti","IND",2003,"Damage_costs",NA,"Aedes","2221",4774381.86400333,2003,1977
"Aedes aegypti","IND",2004,"Damage_costs",NA,"Aedes","2220",87404622.3516994,2003,1977
"Aedes aegypti","IND",2006,"Damage_costs",NA,"Aedes","2224",567406043.43654,2003,1977
"Aedes aegypti","IND",2004,"Damage_costs",NA,"Aedes","2221",4774381.86400333,2003,1977
"Aedes aegypti","IND",2007,"Damage_costs",NA,"Aedes","2221",4774381.86400333,2003,1977
"Aedes aegypti","IND",2006,"Damage_costs",NA,"Aedes","2363",571547693.388632,2003,1977
"Aedes aegypti","IND",2011,"Damage_costs",NA,"Aedes","2363",571547693.388632,2003,1977
"Aedes aegypti","IND",2007,"Damage_costs",NA,"Aedes","2224",567406043.43654,2003,1977
"Aedes aegypti","IND",2012,"Damage_costs",NA,"Aedes","2363",571547693.388632,2003,1977
"Aedes aegypti","IND",2008,"Damage_costs",NA,"Aedes","2363",571547693.388632,2003,1977
"Aedes aegypti","IND",2007,"Damage_costs",NA,"Aedes","2220",87404622.3516994,2003,1977
"Aedes aegypti","IND",2010,"Damage_costs",NA,"Aedes","2363",571547693.388632,2003,1977
"Aedes aegypti","IND",2008,"Damage_costs",NA,"Aedes","2220",87404622.3516994,2003,1977
"Aedes aegypti","IND",2003,"Damage_costs",NA,"Aedes","2220",87404622.3516994,2003,1977
"Aedes aegypti","IND",2012,"Damage_costs",NA,"Aedes","2224",567406043.43654,2003,1977
"Aedes aegypti","IND",2008,"Damage_costs",NA,"Aedes","2224",567406043.43654,2003,1977
"Aedes aegypti","IND",2008,"Damage_costs",NA,"Aedes","2221",4774381.86400333,2003,1977
"Aedes aegypti","IND",2011,"Damage_costs",NA,"Aedes","2224",567406043.43654,2003,1977
"Aedes aegypti","KHM",2006,"Damage_costs",NA,"Aedes","2216",17403539.9581826,2001,1977
"Aedes aegypti","KHM",2008,"Damage_costs",NA,"Aedes","2396",3684700.21688287,2001,1977
"Aedes aegypti","KHM",2005,"Damage_costs",NA,"Aedes","2216",17403539.9581826,2001,1977
"Aedes aegypti","KHM",2008,"Damage_costs",NA,"Aedes","2397",4569258.89248572,2001,1977
"Aedes aegypti","KHM",2008,"Damage_costs",NA,"Aedes","2216",17403539.9581826,2001,1977
"Aedes aegypti","KHM",2007,"Damage_costs",NA,"Aedes","2396",3684700.21688287,2001,1977
"Aedes aegypti","KHM",2007,"Damage_costs",NA,"Aedes","2216",17403539.9581826,2001,1977
"Aedes aegypti","KHM",2003,"Damage_costs",NA,"Aedes","2216",17403539.9581826,2001,1977
"Aedes aegypti","KHM",2002,"Damage_costs",NA,"Aedes","2216",17403539.9581826,2001,1977
"Aedes aegypti","KHM",2004,"Damage_costs",NA,"Aedes","2216",17403539.9581826,2001,1977
"Aedes aegypti","KHM",2001,"Damage_costs",NA,"Aedes","2216",17403539.9581826,2001,1977
"Aedes aegypti","KHM",2001,"Damage_costs",NA,"Aedes","2218",428562.428134414,2001,1977
"Aedes aegypti","KHM",2006,"Damage_costs",NA,"Aedes","2397",4569258.89248572,2001,1977
"Aedes aegypti","KHM",2007,"Damage_costs",NA,"Aedes","2397",4569258.89248572,2001,1977
"Aedes aegypti","KHM",2006,"Damage_costs",NA,"Aedes","2396",3684700.21688287,2001,1977
"Aedes aegypti","KHM",2009,"Damage_costs",NA,"Aedes","2216",17403539.9581826,2001,1977
"Aedes aegypti","KHM",2010,"Damage_costs",NA,"Aedes","2216",17403539.9581826,2001,1977
"Aedes aegypti","LAO",2004,"Damage_costs",NA,"Aedes","2230",5358901.39099299,2001,1977
"Aedes aegypti","LAO",2005,"Damage_costs",NA,"Aedes","2230",5358901.39099299,2001,1977
"Aedes aegypti","LAO",2002,"Damage_costs",NA,"Aedes","2230",5358901.39099299,2001,1977
"Aedes aegypti","LAO",2001,"Damage_costs",NA,"Aedes","2230",5358901.39099299,2001,1977
"Aedes aegypti","LAO",2006,"Damage_costs",NA,"Aedes","2230",5358901.39099299,2001,1977
"Aedes aegypti","LAO",2003,"Damage_costs",NA,"Aedes","2230",5358901.39099299,2001,1977
"Aedes aegypti","LAO",2008,"Damage_costs",NA,"Aedes","2230",5358901.39099299,2001,1977
"Aedes aegypti","LAO",2007,"Damage_costs",NA,"Aedes","2230",5358901.39099299,2001,1977
"Aedes aegypti","LAO",2009,"Damage_costs",NA,"Aedes","2230",5358901.39099299,2001,1977
"Aedes aegypti","LAO",2010,"Damage_costs",NA,"Aedes","2230",5358901.39099299,2001,1977
"Aedes aegypti","MEX",2011,"Damage_costs",NA,"Aedes","2392",24128263.7787661,2008,1977
"Aedes aegypti","MMR",2005,"Damage_costs",NA,"Aedes","2235",15231780.1955654,2001,1977
"Aedes aegypti","MMR",2002,"Damage_costs",NA,"Aedes","2235",15231780.1955654,2001,1977
"Aedes aegypti","MMR",2001,"Damage_costs",NA,"Aedes","2235",15231780.1955654,2001,1977
"Aedes aegypti","MMR",2004,"Damage_costs",NA,"Aedes","2235",15231780.1955654,2001,1977
"Aedes aegypti","MMR",2006,"Damage_costs",NA,"Aedes","2235",15231780.1955654,2001,1977
"Aedes aegypti","MMR",2007,"Damage_costs",NA,"Aedes","2235",15231780.1955654,2001,1977
"Aedes aegypti","MMR",2003,"Damage_costs",NA,"Aedes","2235",15231780.1955654,2001,1977
"Aedes aegypti","MMR",2009,"Damage_costs",NA,"Aedes","2235",15231780.1955654,2001,1977
"Aedes aegypti","MMR",2010,"Damage_costs",NA,"Aedes","2235",15231780.1955654,2001,1977
"Aedes aegypti","MMR",2008,"Damage_costs",NA,"Aedes","2235",15231780.1955654,2001,1977
"Aedes aegypti","MYS",2004,"Damage_costs",NA,"Aedes","2232",134654366.328205,2001,1977
"Aedes aegypti","MYS",2005,"Damage_costs",NA,"Aedes","2231",149507371.21207,2001,1977
"Aedes aegypti","MYS",2002,"Damage_costs",NA,"Aedes","2232",134654366.328205,2001,1977
"Aedes aegypti","MYS",2004,"Damage_costs",NA,"Aedes","2231",149507371.21207,2001,1977
"Aedes aegypti","MYS",2006,"Damage_costs",NA,"Aedes","2232",134654366.328205,2001,1977
"Aedes aegypti","MYS",2001,"Damage_costs",NA,"Aedes","2232",134654366.328205,2001,1977
"Aedes aegypti","MYS",2003,"Damage_costs",NA,"Aedes","2231",149507371.21207,2001,1977
"Aedes aegypti","MYS",2005,"Damage_costs",NA,"Aedes","2232",134654366.328205,2001,1977
"Aedes aegypti","MYS",2002,"Damage_costs",NA,"Aedes","2231",149507371.21207,2001,1977
"Aedes aegypti","MYS",2007,"Damage_costs",NA,"Aedes","2232",134654366.328205,2001,1977
"Aedes aegypti","MYS",2009,"Damage_costs",NA,"Aedes","2371",59605352.511881,2001,1977
"Aedes aegypti","MYS",2008,"Damage_costs",NA,"Aedes","2232",134654366.328205,2001,1977
"Aedes aegypti","MYS",2003,"Damage_costs",NA,"Aedes","2232",134654366.328205,2001,1977
"Aedes aegypti","MYS",2007,"Damage_costs",NA,"Aedes","2231",149507371.21207,2001,1977
"Aedes aegypti","MYS",2009,"Damage_costs",NA,"Aedes","2232",134654366.328205,2001,1977
"Aedes aegypti","MYS",2010,"Damage_costs",NA,"Aedes","2232",134654366.328205,2001,1977
"Aedes aegypti","MYS",2006,"Damage_costs",NA,"Aedes","2231",149507371.21207,2001,1977
"Aedes aegypti","PER",2007,"Damage_costs",NA,"Aedes","2324",132916340.065661,1995,1977
"Aedes aegypti","PER",2000,"Damage_costs",NA,"Aedes","2324",132916340.065661,1995,1977
"Aedes aegypti","PER",2005,"Damage_costs",NA,"Aedes","2324",132916340.065661,1995,1977
"Aedes aegypti","PER",2004,"Damage_costs",NA,"Aedes","2324",132916340.065661,1995,1977
"Aedes aegypti","PER",2013,"Damage_costs",NA,"Aedes","2323",230687.554170826,1995,1977
"Aedes aegypti","PER",2002,"Damage_costs",NA,"Aedes","2324",132916340.065661,1995,1977
"Aedes aegypti","PER",2003,"Damage_costs",NA,"Aedes","2324",132916340.065661,1995,1977
"Aedes aegypti","PER",2011,"Damage_costs",NA,"Aedes","2403",1716301.1203029,1995,1977
"Aedes aegypti","PER",2001,"Damage_costs",NA,"Aedes","2324",132916340.065661,1995,1977
"Aedes aegypti","PER",2006,"Damage_costs",NA,"Aedes","2324",132916340.065661,1995,1977
"Aedes aegypti","PER",2011,"Damage_costs",NA,"Aedes","2325",2108598.51922928,1995,1977
"Aedes aegypti","PHL",2011,"Damage_costs",NA,"Aedes","2368",2348992.53008418,2001,1977
"Aedes aegypti","PHL",2012,"Damage_costs",NA,"Aedes","2236",71358810.7604102,2001,1977
"Aedes aegypti","PHL",2011,"Damage_costs",NA,"Aedes","2236",71358810.7604102,2001,1977
"Aedes aegypti","PHL",2012,"Damage_costs",NA,"Aedes","2368",2348992.53008418,2001,1977
"Aedes aegypti","PHL",2006,"Damage_costs",NA,"Aedes","2237",85049016.4014476,2001,1977
"Aedes aegypti","PHL",2008,"Damage_costs",NA,"Aedes","2237",85049016.4014476,2001,1977
"Aedes aegypti","PHL",2007,"Damage_costs",NA,"Aedes","2237",85049016.4014476,2001,1977
"Aedes aegypti","PHL",2013,"Damage_costs",NA,"Aedes","2368",2348992.53008418,2001,1977
"Aedes aegypti","PHL",2002,"Damage_costs",NA,"Aedes","2237",85049016.4014476,2001,1977
"Aedes aegypti","PHL",2009,"Damage_costs",NA,"Aedes","2368",2348992.53008418,2001,1977
"Aedes aegypti","PHL",2003,"Damage_costs",NA,"Aedes","2237",85049016.4014476,2001,1977
"Aedes aegypti","PHL",2014,"Damage_costs",NA,"Aedes","2368",2348992.53008418,2001,1977
"Aedes aegypti","PHL",2009,"Damage_costs",NA,"Aedes","2237",85049016.4014476,2001,1977
"Aedes aegypti","PHL",2004,"Damage_costs",NA,"Aedes","2237",85049016.4014476,2001,1977
"Aedes aegypti","PHL",2001,"Damage_costs",NA,"Aedes","2237",85049016.4014476,2001,1977
"Aedes aegypti","PHL",2010,"Damage_costs",NA,"Aedes","2236",71358810.7604102,2001,1977
"Aedes aegypti","PHL",2010,"Damage_costs",NA,"Aedes","2368",2348992.53008418,2001,1977
"Aedes aegypti","PHL",2005,"Damage_costs",NA,"Aedes","2237",85049016.4014476,2001,1977
"Aedes aegypti","PHL",2008,"Damage_costs",NA,"Aedes","2236",71358810.7604102,2001,1977
"Aedes aegypti","PHL",2009,"Damage_costs",NA,"Aedes","2236",71358810.7604102,2001,1977
"Aedes aegypti","PHL",2010,"Damage_costs",NA,"Aedes","2237",85049016.4014476,2001,1977
"Aedes aegypti","PRY",2000,"Damage_costs",NA,"Aedes","2321",2522877.38073318,1995,1977
"Aedes aegypti","PRY",2003,"Damage_costs",NA,"Aedes","2321",2522877.38073318,1995,1977
"Aedes aegypti","PRY",2005,"Damage_costs",NA,"Aedes","2321",2522877.38073318,1995,1977
"Aedes aegypti","PRY",2007,"Damage_costs",NA,"Aedes","2321",2522877.38073318,1995,1977
"Aedes aegypti","PRY",2015,"Damage_costs",NA,"Aedes","NE3040",2975643.17066436,1995,1977
"Aedes aegypti","PRY",2004,"Damage_costs",NA,"Aedes","2321",2522877.38073318,1995,1977
"Aedes aegypti","PRY",2001,"Damage_costs",NA,"Aedes","2321",2522877.38073318,1995,1977
