"Genus","Species","Impact_year","Type_of_cost_merged","Management_type","code","Cost_ID","Cost.USD","First_invacost","First_manage","First_manage_invacost"
"Aedes","Aedes aegypti",2002,"Management","Post-invasion management","THA","2257",49730872.9505411,1922,1981,1977
"Aedes","Aedes aegypti",2003,"Management","Post-invasion management","USA","2345",9106903.28229997,1922,1977,1977
"Aedes","Aedes aegypti/Aedes albopictus",1995,"Management","Post-invasion management","SLV","2304",1608572.13168545,1922,1995,1977
"Aedes","Aedes aegypti/Aedes albopictus",1995,"Management","Post-invasion management","MEX","2310",4825716.39505635,1922,1995,1977
"Aedes","Aedes aegypti/Aedes albopictus",2007,"Management","Post-invasion management","BRA","2283",1574050.22934482,1922,1984,1977
"Aedes","Aedes aegypti/Aedes albopictus",2007,"Management","Post-invasion management","MYS","2342",30075091.726287,1922,2002,1977
"Aedes","Aedes aegypti/Aedes albopictus",2007,"Management","Post-invasion management","VEN","2332",449044.526974101,1922,2007,1977
"Aedes","Aedes aegypti/Aedes albopictus",2008,"Management","Post-invasion management","BRA","2283",1574050.22934482,1922,1984,1977
"Aedes","Aedes aegypti/Aedes albopictus",2009,"Management","Post-invasion management","BRA","2283",1574050.22934482,1922,1984,1977
"Aedes","Aedes aegypti",1995,"Management","Post-invasion management","BLZ","2274",144771.49185169,1922,1995,1977
"Aedes","Aedes aegypti",1995,"Management","Post-invasion management","BOL","2276",402143.032921362,1922,1995,1977
"Aedes","Aedes aegypti",2017,"Management","Post-invasion management","USA","2361",195499848.456182,1922,1977,1977
"Aedes","Aedes aegypti/Aedes albopictus",2000,"Management","Post-invasion management","CUB","2298",9613246.53355826,1922,1981,1977
"Aedes","Aedes aegypti/Aedes albopictus",2000,"Management","Post-invasion management","THA","2343",31493728.1284704,1922,1981,1977
"Aedes","Aedes aegypti",2011,"Management","Post-invasion management","COL","NE3073",265749.741435762,1922,1995,1977
"Aedes","Aedes aegypti",2001,"Management","Post-invasion management","KHM","2344",712671.983358227,1922,2001,1977
"Aedes","Aedes aegypti",2013,"Management","Post-invasion management","MEX","2356",290725398.45501,1922,1995,1977
"Aedes","Aedes aegypti",2013,"Management","Post-invasion management","THA","2359",61028132.8642438,1922,1981,1977
"Aedes","Aedes aegypti/Aedes albopictus",2004,"Management","Post-invasion management","CUB","2299",851480.834920087,1922,1981,1977
"Aedes","Aedes aegypti/Aedes albopictus",2004,"Management","Post-invasion management","MYS","2342",30075091.726287,1922,2002,1977
"Aedes","Aedes aegypti/Aedes albopictus",2004,"Management","Post-invasion management","THA","2343",31493728.1284704,1922,1981,1977
"Aedes","Aedes aegypti",2016,"Management","Post-invasion management","ARG","NE3245",13204875,1922,1995,1977
"Aedes","Aedes aegypti",2016,"Management","Post-invasion management","BRA","2348",48747441.0757196,1922,1984,1977
"Aedes","Aedes aegypti",1981,"Management","Post-invasion management","THA","2419",892335.423197497,1922,1981,1977
"Aedes","Aedes aegypti",1987,"Management","Post-invasion management","THA","2247",34516288.9622297,1922,1981,1977
"Aedes","Aedes aegypti",1994,"Management","Post-invasion management","THA","2418",8057484.62022829,1922,1981,1977
"Aedes","Aedes aegypti",2017,"Management","Post-invasion management","BRA","NE4533",430303527.620539,1922,1984,1977
"Aedes","Aedes aegypti",2001,"Management","Post-invasion management","THA","2257",49730872.9505411,1922,1981,1977
"Aedes","Aedes aegypti",2008,"Management","Post-invasion management","SGP","2406",54485749.8508858,1922,1977,1977
"Aedes","Aedes aegypti",2017,"Management","Post-invasion management","ECU","NE3063",95000,1922,1995,1977
"Aedes","Aedes aegypti",2000,"Management","Post-invasion management","SGP","2406",54485749.8508858,1922,1977,1977
"Aedes","Aedes aegypti",2000,"Management","Post-invasion management","VNM","2360",12692.0670115337,1922,1998,1977
"Aedes","Aedes camptorhynchus",1998,"Management","Post-invasion management","NZL","SC2535",3636877.59126129,1922,1998,1977
"Aedes","Aedes camptorhynchus",1999,"Management","Post-invasion management","NZL","SC2535",3636877.59126129,1922,1998,1977
"Aedes","Aedes camptorhynchus",2000,"Management","Post-invasion management","NZL","SC2535",3636877.59126129,1922,1998,1977
"Aedes","Aedes camptorhynchus",2001,"Management","Post-invasion management","NZL","SC2535",3636877.59126129,1922,1998,1977
"Aedes","Aedes camptorhynchus",2002,"Management","Post-invasion management","NZL","SC2535",3636877.59126129,1922,1998,1977
"Aedes","Aedes camptorhynchus",2003,"Management","Post-invasion management","NZL","SC2535",3636877.59126129,1922,1998,1977
"Aedes","Aedes camptorhynchus",2004,"Management","Post-invasion management","NZL","SC2535",3636877.59126129,1922,1998,1977
"Aedes","Aedes camptorhynchus",2005,"Management","Post-invasion management","NZL","SC2535",3636877.59126129,1922,1998,1977
"Aedes","Aedes camptorhynchus",2006,"Management","Post-invasion management","NZL","SC2535",3636877.59126129,1922,1998,1977
"Aedes","Aedes camptorhynchus",2007,"Management","Post-invasion management","NZL","SC2535",3636877.59126129,1922,1998,1977
"Aedes","Aedes camptorhynchus",2008,"Management","Post-invasion management","NZL","SC2535",3636877.59126129,1922,1998,1977
"Aedes","Aedes camptorhynchus",2009,"Management","Post-invasion management","NZL","SC2535",3636877.59126129,1922,1998,1977
"Aedes","Aedes camptorhynchus",2010,"Management","Post-invasion management","NZL","SC2535",3636877.59126129,1922,1998,1977
"Aedes","Aedes aegypti",2001,"Management","Post-invasion management","SGP","2406",54485749.8508858,1922,1977,1977
"Aedes","Aedes aegypti",2013,"Management","Post-invasion management","COL","2351",631679.054675666,1922,1995,1977
"Aedes","Aedes aegypti",2013,"Management","Post-invasion management","BRA","2354",397314189.129973,1922,1984,1977
"Aedes","Aedes aegypti",2004,"Management","Post-invasion management","SGP","2406",54485749.8508858,1922,1977,1977
"Aedes","Aedes aegypti",2013,"Management","Post-invasion management","COL","2355",111008069.261685,1922,1995,1977
"Aedes","Aedes aegypti",2013,"Management","Post-invasion management","COL","NE3068",1967693.92501602,1922,1995,1977
"Aedes","Aedes aegypti",2013,"Management","Post-invasion management","COL","NE3069",8556086.70369739,1922,1995,1977
"Aedes","Aedes aegypti",2013,"Management","Post-invasion management","MYS","2357",88911676.3280793,1922,2002,1977
"Aedes","Aedes aegypti",2013,"Management","Post-invasion management","PHL","2358",157305273.503525,1922,2013,1977
"Aedes","Aedes aegypti",2007,"Management","Post-invasion management","USA","2345",9106903.28229997,1922,1977,1977
"Aedes","Aedes albopictus",2018,"Management","Post-invasion management","ESP","NE296",7204.97809478398,1922,2015,1977
"Aedes","Aedes albopictus",2018,"Management","Post-invasion management","ITA","SC2427",1152796.49516544,1922,2008,1977
"Aedes","Aedes aegypti",2016,"Management","Post-invasion management","COL","2352",249796.972154651,1922,1995,1977
"Aedes","Aedes aegypti",2016,"Management","Post-invasion management","ECU","NE3063",95000,1922,1995,1977
"Aedes","Aedes aegypti",2008,"Management","Post-invasion management","COL","NE3073",265749.741435762,1922,1995,1977
"Aedes","Aedes aegypti",2017,"Management","Post-invasion management","BRA","2348",48747441.0757196,1922,1984,1977
"Aedes","Aedes aegypti",2008,"Management","Post-invasion management","KHM","2217",562057.78651154,1922,2001,1977
"Aedes","Aedes aegypti",2008,"Management","Post-invasion management","MEX","2367",148123.144829175,1922,1995,1977
"Aedes","Aedes aegypti/Aedes albopictus",2005,"Management","Post-invasion management","MYS","2342",30075091.726287,1922,2002,1977
"Aedes","Aedes aegypti",2005,"Management","Post-invasion management","KHM","2344",712671.983358227,1922,2001,1977
"Aedes","Aedes aegypti",2018,"Management","Post-invasion management","COL","NE3042",149774.827621467,1922,1995,1977
"Aedes","Aedes aegypti",2018,"Management","Post-invasion management","COL","NE3043",100022.144533184,1922,1995,1977
"Aedes","Aedes aegypti/Aedes albopictus",1977,"Management","Post-invasion management","SGP","2346",17554213.0997901,1922,1977,1977
"Aedes","Aedes aegypti/Aedes albopictus",1981,"Management","Post-invasion management","SGP","2347",15598675.7191028,1922,1977,1977
"Aedes","Aedes aegypti/Aedes albopictus",1984,"Management","Post-invasion management","BRA","2281",544348.17749604,1922,1984,1977
"Aedes","Aedes aegypti/Aedes albopictus",1985,"Management","Post-invasion management","BRA","2281",544348.17749604,1922,1984,1977
"Aedes","Aedes aegypti/Aedes albopictus",1986,"Management","Post-invasion management","BRA","2281",544348.17749604,1922,1984,1977
"Aedes","Aedes aegypti/Aedes albopictus",1987,"Management","Post-invasion management","BRA","2281",544348.17749604,1922,1984,1977
"Aedes","Aedes aegypti/Aedes albopictus",1988,"Management","Post-invasion management","BRA","2281",544348.17749604,1922,1984,1977
"Aedes","Aedes aegypti/Aedes albopictus",1989,"Management","Post-invasion management","BRA","2281",544348.17749604,1922,1984,1977
"Aedes","Aedes aegypti/Aedes albopictus",1990,"Management","Post-invasion management","BRA","2281",544348.17749604,1922,1984,1977
"Aedes","Aedes aegypti/Aedes albopictus",1991,"Management","Post-invasion management","BRA","2281",544348.17749604,1922,1984,1977
"Aedes","Aedes aegypti/Aedes albopictus",1992,"Management","Post-invasion management","BRA","2281",544348.17749604,1922,1984,1977
"Aedes","Aedes aegypti/Aedes albopictus",1993,"Management","Post-invasion management","BRA","2281",544348.17749604,1922,1984,1977
"Aedes","Aedes aegypti/Aedes albopictus",1994,"Management","Post-invasion management","BRA","2281",544348.17749604,1922,1984,1977
"Aedes","Aedes aegypti/Aedes albopictus",1995,"Management","Post-invasion management","ARG","2269",9571004.18352842,1922,1995,1977
"Aedes","Aedes aegypti/Aedes albopictus",1995,"Management","Post-invasion management","BRA","2282",94249176.8395907,1922,1984,1977
"Aedes","Aedes aegypti/Aedes albopictus",1995,"Management","Post-invasion management","COL","2293",5807733.59572899,1922,1995,1977
"Aedes","Aedes aegypti/Aedes albopictus",1995,"Management","Post-invasion management","CRI","2295",2412858.19752817,1922,1995,1977
"Aedes","Aedes aegypti/Aedes albopictus",1995,"Management","Post-invasion management","HND","2308",1608572.13168545,1922,1995,1977
"Aedes","Aedes aegypti",2006,"Management","Post-invasion management","IND","2398",9931303.76900318,1922,2003,1977
"Aedes","Aedes aegypti",2006,"Management","Post-invasion management","KHM","2217",562057.78651154,1922,2001,1977
"Aedes","Aedes aegypti",2006,"Management","Post-invasion management","SGP","2406",54485749.8508858,1922,1977,1977
"Aedes","Aedes aegypti",2006,"Management","Post-invasion management","USA","2345",9106903.28229997,1922,1977,1977
"Aedes","Aedes aegypti",2001,"Management","Post-invasion management","KHM","2374",671251.457633089,1922,2001,1977
"Aedes","Aedes aegypti",2004,"Management","Post-invasion management","IND","2398",9931303.76900318,1922,2003,1977
"Aedes","Aedes aegypti",2004,"Management","Post-invasion management","KHM","2344",712671.983358227,1922,2001,1977
"Aedes","Aedes aegypti",2004,"Management","Post-invasion management","KHM","2374",671251.457633089,1922,2001,1977
"Aedes","Aedes aegypti",2004,"Management","Post-invasion management","THA","2257",49730872.9505411,1922,1981,1977
"Aedes","Aedes aegypti",2004,"Management","Post-invasion management","USA","2345",9106903.28229997,1922,1977,1977
"Aedes","Aedes aegypti",2007,"Management","Post-invasion management","KHM","2217",562057.78651154,1922,2001,1977
"Aedes","Aedes aegypti",2007,"Management","Post-invasion management","SGP","2406",54485749.8508858,1922,1977,1977
"Aedes","Aedes aegypti",2007,"Management","Post-invasion management","THA","2242",94575.7601455567,1922,1981,1977
"Aedes","Aedes albopictus",2016,"Management","Post-invasion management","ESP","NE290",16957.2205016686,1922,2015,1977
"Aedes","Aedes albopictus",2016,"Management","Post-invasion management","ESP","NE294",7065.50854236191,1922,2015,1977
"Aedes","Aedes albopictus",2017,"Management","Post-invasion management","ESP","NE291",16945.2176470589,1922,2015,1977
"Aedes","Aedes albopictus",2017,"Management","Post-invasion management","ESP","NE295",7060.50735294119,1922,2015,1977
"Aedes","Aedes albopictus",2018,"Management","Post-invasion management","ESP","NE292",17291.9474274816,1922,2015,1977
"Aedes","Aedes aegypti",2009,"Management","Post-invasion management","SGP","2406",54485749.8508858,1922,1977,1977
"Aedes","Aedes aegypti",1981,"Management","Post-invasion management","CUB","2297",115921276.693246,1922,1981,1977
"Aedes","Aedes aegypti",2008,"Management","Post-invasion management","IND","2398",9931303.76900318,1922,2003,1977
"Aedes","Aedes aegypti",2005,"Management","Post-invasion management","IND","2398",9931303.76900318,1922,2003,1977
"Aedes","Aedes aegypti",2005,"Management","Post-invasion management","KHM","2374",671251.457633089,1922,2001,1977
"Aedes","Aedes aegypti",2005,"Management","Post-invasion management","SGP","2406",54485749.8508858,1922,1977,1977
"Aedes","Aedes aegypti",2005,"Management","Post-invasion management","THA","2257",49730872.9505411,1922,1981,1977
"Aedes","Aedes aegypti",2005,"Management","Post-invasion management","USA","2345",9106903.28229997,1922,1977,1977
"Aedes","Aedes aegypti/Aedes albopictus",2011,"Management","Post-invasion management","BRA","2283",1574050.22934482,1922,1984,1977
"Aedes","Aedes aegypti/Aedes albopictus",2011,"Management","Post-invasion management","COL","2291",43261685.3816034,1922,1995,1977
"Aedes","Aedes aegypti/Aedes albopictus",2011,"Management","Post-invasion management","MEX","2312",85754675.1920755,1922,1995,1977
"Aedes","Aedes aegypti",2009,"Management","Post-invasion management","COL","NE3073",265749.741435762,1922,1995,1977
"Aedes","Aedes aegypti",2007,"Management","Post-invasion management","ARG","NE5209",491024.725941941,1922,1995,1977
"Aedes","Aedes aegypti",2007,"Management","Post-invasion management","COL","NE3073",265749.741435762,1922,1995,1977
"Aedes","Aedes aegypti",2007,"Management","Post-invasion management","IND","2398",9931303.76900318,1922,2003,1977
"Aedes","Aedes aegypti",2013,"Management","Post-invasion management","FRA","2267",3742077.98137494,1922,2008,1977
"Aedes","Aedes aegypti/Aedes albopictus",2003,"Management","Post-invasion management","MYS","2342",30075091.726287,1922,2002,1977
"Aedes","Aedes aegypti/Aedes albopictus",2003,"Management","Post-invasion management","THA","2343",31493728.1284704,1922,1981,1977
"Aedes","Aedes aegypti/Aedes albopictus",2006,"Management","Post-invasion management","CUB","2300",9445745.30772191,1922,1981,1977
"Aedes","Aedes aegypti/Aedes albopictus",2006,"Management","Post-invasion management","MYS","2342",30075091.726287,1922,2002,1977
"Aedes","Aedes aegypti",2011,"Management","Post-invasion management","IDN","2400",514890.336090871,1922,2011,1977
"Aedes","Aedes aegypti",2012,"Management","Post-invasion management","LKA","2353",1037045.58867886,1922,2012,1977
"Aedes","Aedes aegypti",2012,"Management","Post-invasion management","MEX","2382",6085447.05924632,1922,1995,1977
"Aedes","Aedes aegypti/Aedes albopictus",2005,"Management","Post-invasion management","BRA","2261",15672935.9079732,1922,1984,1977
"Aedes","Aedes aegypti/Aedes albopictus",2010,"Management","Post-invasion management","BRA","2283",1574050.22934482,1922,1984,1977
"Aedes","Aedes aegypti/Aedes albopictus",2010,"Management","Post-invasion management","COL","2291",43261685.3816034,1922,1995,1977
"Aedes","Aedes aegypti/Aedes albopictus",2010,"Management","Post-invasion management","CUB","2350",1278907.41154393,1922,1981,1977
"Aedes","Aedes aegypti",2010,"Management","Post-invasion management","COL","NE3073",265749.741435762,1922,1995,1977
"Aedes","Aedes aegypti/Aedes albopictus",2012,"Management","Post-invasion management","COL","2291",43261685.3816034,1922,1995,1977
"Aedes","Aedes aegypti/Aedes albopictus",2012,"Management","Post-invasion management","CUB","2349",3782067.9805414,1922,1981,1977
"Aedes","Aedes aegypti/Aedes albopictus",2013,"Management","Post-invasion management","BRA","2278",69971910.9564174,1922,1984,1977
"Aedes","Aedes aegypti/Aedes albopictus",2001,"Management","Post-invasion management","CUB","2298",9613246.53355826,1922,1981,1977
"Aedes","Aedes aegypti/Aedes albopictus",2015,"Management","Post-invasion management","MDV","2384",153973.698279028,1922,2015,1977
"Aedes","Aedes aegypti/Aedes albopictus",2002,"Management","Post-invasion management","CUB","2298",9613246.53355826,1922,1981,1977
"Aedes","Aedes aegypti",2013,"Management","Post-invasion management","ECU","NE3063",95000,1922,1995,1977
"Aedes","Aedes albopictus",2015,"Management","Post-invasion management","ESP","2362",550635.738337939,1922,2015,1977
"Aedes","Aedes albopictus",2015,"Management","Post-invasion management","ESP","NE289",17211.6348692054,1922,2015,1977
"Aedes","Aedes albopictus",2015,"Management","Post-invasion management","ESP","NE293",7171.5145288356,1922,2015,1977
"Aedes","Aedes aegypti/Aedes albopictus",2015,"Management","Post-invasion management","MDV","2386",120897.338213083,1922,2015,1977
"Aedes","Aedes albopictus",2001,"Management","Post-invasion management","USA","1604",1622785.33978915,1922,1977,1977
"Aedes","Aedes aegypti/Aedes albopictus",2001,"Management","Post-invasion management","THA","2343",31493728.1284704,1922,1981,1977
"Aedes","Aedes albopictus",2008,"Management","Post-invasion management","ITA","2388",12686111.9039095,1922,2008,1977
"Aedes","Aedes aegypti/Aedes albopictus",2002,"Management","Post-invasion management","MYS","2342",30075091.726287,1922,2002,1977
"Aedes","Aedes aegypti/Aedes albopictus",2002,"Management","Post-invasion management","THA","2343",31493728.1284704,1922,1981,1977
"Aedes","Aedes aegypti/Aedes albopictus",2005,"Management","Post-invasion management","THA","2343",31493728.1284704,1922,1981,1977
"Aedes","Aedes albopictus",2008,"Management","Post-invasion management","ITA","2228",672433.157246661,1922,2008,1977
"Aedes","Aedes albopictus",2008,"Management","Post-invasion management","ITA","2229",6926945.25311045,1922,2008,1977
"Aedes","Aedes albopictus",2010,"Management","Post-invasion management","ITA","2229",6926945.25311045,1922,2008,1977
"Aedes","Aedes aegypti/Aedes albopictus",2010,"Management","Post-invasion management","MYS","2234",82566288.8385452,1922,2002,1977
"Aedes","Aedes albopictus",2008,"Management","Post-invasion management","USA","2260",2971456.96171667,1922,1977,1977
"Aedes","Aedes albopictus",2009,"Management","Post-invasion management","USA","2372",305524.339903352,1922,1977,1977
"Aedes","Aedes albopictus",2010,"Management","Post-invasion management","ITA","2390",8294139.09835118,1922,2008,1977
"Aedes","Aedes albopictus",2012,"Management","Post-invasion management","FRA","2259",29946805.2652384,1922,2008,1977
"Aedes","Aedes albopictus",2009,"Management","Post-invasion management","ITA","2229",6926945.25311045,1922,2008,1977
"Aedes","Aedes albopictus",2009,"Management","Post-invasion management","ITA","2389",9423339.81454536,1922,2008,1977
"Aedes","Aedes albopictus",2011,"Management","Post-invasion management","USA","2372",305524.339903352,1922,1977,1977
"Aedes","Aedes albopictus",2011,"Management","Post-invasion management","ITA","2391",8001435.43175527,1922,2008,1977
"Aedes","Aedes albopictus",2011,"Management","Post-invasion management","ITA","2229",6926945.25311045,1922,2008,1977
"Aedes","Aedes albopictus",2010,"Management","Post-invasion management","USA","2372",305524.339903352,1922,1977,1977
